Day,Month,Year,powermorningbe,degrees
29,01,2018,1,-18
30,01,2018,1,-17
31,01,2018,1,-18
07,02,2018,1,-14
08,02,2018,1,-12
10,02,2018,1,-9
13,02,2018,1,-16
14,02,2018,1,-16
15,02,2018,1,-10
21,02,2018,1,-10
22,02,2018,1,-3
24,02,2018,1,-13
28,02,2018,1,-18
01,03,2018,1,-15
02,03,2018,0,-19
05,03,2018,1,-13
06,03,2018,1,-11
07,03,2018,1,1
10,03,2018,1,-8
14,03,2018,0,-19
17,03,2018,1,-10
21,03,2018,1,-4
24,03,2018,1,3
03,04,2018,1,-6
04,04,2018,1,-11
05,04,2018,0,-11
07,04,2018,1,5
10,04,2018,1,2
11,04,2018,1,0
12,04,2018,1,2
14,04,2018,1,2
18,04,2018,1,-4
19,04,2018,1,-3
21,04,2018,1,5
24,04,2018,1,2
25,04,2018,0,9
26,04,2018,0,3
28,04,2018,1,7
03,05,2018,1,0
05,05,2018,0,6
10,05,2018,1,1
12,05,2018,1,14
08,09,2018,1,8
10,09,2018,1,8
11,09,2018,1,3
14,09,2018,1,12
15,09,2018,1,14
18,09,2018,1,2
19,09,2018,0,1
21,09,2018,1,12
22,09,2018,1,11
24,09,2018,0,7
25,09,2018,1,10
28,09,2018,1,10
29,09,2018,0,11
01,10,2018,1,9
02,10,2018,1,6
03,10,2018,1,4
04,10,2018,0,4
06,10,2018,1,4
09,10,2018,1,10
11,10,2018,1,2
13,10,2018,1,11
16,10,2018,1,0
17,10,2018,1,1
18,10,2018,1,1
19,10,2018,1,4
20,10,2018,1,1
23,10,2018,0,-1
24,10,2018,1,0
26,10,2018,1,1
27,10,2018,1,1
30,10,2018,0,1
31,10,2018,1,-6
13,11,2018,1,-6
15,11,2018,1,8
16,11,2018,1,-6
17,11,2018,0,-20
20,11,2018,1,-9
23,11,2018,1,0
24,11,2018,1,-5
27,11,2018,1,-13
29,11,2018,1,12
30,11,2018,1,-3
04,12,2018,0,-25
06,12,2018,0,-29
19,01,2019,1,9
21,01,2019,1,-6
22,01,2019,1,-3
23,01,2019,1,-11
24,01,2019,1,-12
25,01,2019,1,-9
26,01,2019,0,-21
28,01,2019,0,-27
29,01,2019,0,-23
30,01,2019,0,-21
31,01,2019,1,-15
12,02,2019,1,20
14,02,2019,1,-12
16,02,2019,1,-11
21,02,2019,1,-2
28,02,2019,1,-9
02,03,2019,1,-5
07,03,2019,1,-8
09,03,2019,0,-8
14,03,2019,1,-1
16,03,2019,1,1
21,03,2019,1,-9
23,03,2019,1,-3
04,04,2019,1,3
06,04,2019,1,0
11,04,2019,1,-2
13,04,2019,1,6
20,04,2019,1,-4
25,04,2019,1,6
27,04,2019,1,-1
11,05,2019,1,7
15,05,2019,0,0
16,05,2019,1,3
04,09,2019,1,7
07,09,2019,0,9
10,09,2019,1,9
12,09,2019,0,2
17,09,2019,1,12
18,09,2019,1,13
19,09,2019,1,13
21,09,2019,1,9
24,09,2019,1,7
25,09,2019,1,6
26,09,2019,1,4
28,09,2019,0,5
01,10,2019,1,1
02,10,2019,1,2
03,10,2019,1,2
05,10,2019,1,7
08,10,2019,1,7
12,10,2019,1,-1
15,10,2019,1,12
16,10,2019,1,7
17,10,2019,1,5
19,10,2019,1,-2
22,10,2019,0,-5
24,10,2019,1,1
26,10,2019,1,-1
29,10,2019,1,10
30,10,2019,1,-2
31,10,2019,1,1
01,11,2019,0,2
12,11,2019,1,-10
13,11,2019,1,3
14,11,2019,1,14
16,11,2019,0,-23
18,11,2019,1,-5
20,11,2019,0,27
21,11,2019,0,-27
23,11,2019,1,-14
26,11,2019,1,-13
27,11,2019,1,9
28,11,2019,1,15
29,11,2019,1,12
30,11,2019,1,-9
03,12,2019,1,-11
04,12,2019,0,5
05,12,2019,1,5
10,12,2019,1,0
11,12,2019,1,-7
12,12,2019,1,5
14,12,2019,1,-7
18,01,2020,1,1
22,01,2020,0,-21
25,01,2020,1,-1
27,01,2020,1,-11
31,01,2020,0,-22
01,02,2020,0,-20
03,02,2020,1,15
04,02,2020,1,-6
05,02,2020,1,-6
07,02,2020,0,-6
10,02,2020,1,-7
11,02,2020,0,-21
13,02,2020,1,-16
14,02,2020,1,-11
17,02,2020,1,-7
18,02,2020,1,-6
20,02,2020,1,-1
21,02,2020,1,5
25,02,2020,0,10
27,02,2020,1,-4
28,02,2020,1,2
02,03,2020,1,-4
03,03,2020,1,-4
05,03,2020,1,-2
06,03,2020,0,-17
10,03,2020,1,-3
12,03,2020,1,-6
13,03,2020,1,-7
16,03,2020,1,2
17,03,2020,1,-2
20,03,2020,1,-2
21,09,2020,1,10
22,09,2020,1,11
28,09,2020,1,3
29,09,2020,0,7
01,10,2020,0,6
06,10,2020,1,-1
07,10,2020,0,2
08,10,2020,1,0
09,10,2020,0,1
12,10,2020,0,4
13,10,2020,1,6
14,10,2020,1,3
20,10,2020,0,6
24,10,2020,0,2
26,10,2020,0,3
28,10,2020,0,3
29,10,2020,0,-5
03,11,2020,0,1
10,11,2020,0,2
12,11,2020,1,-1
16,11,2020,1,-6
17,11,2020,0,12
19,11,2020,0,12
23,11,2020,1,-8
24,11,2020,1,7
26,11,2020,0,-12
28,11,2020,0,-15
30,11,2020,0,-12
01,12,2020,1,-12
03,12,2020,0,-12
07,12,2020,0,-17
08,12,2020,1,-13
10,12,2020,0,-17
12,12,2020,0,-13
12,01,2021,0,-28
14,01,2021,0,-25
16,01,2021,1,18
18,01,2021,1,-7
19,01,2021,1,-19
21,01,2021,1,-17
23,01,2021,1,-19
25,01,2021,0,-35
26,01,2021,0,-33
27,01,2021,1,-14
28,01,2021,1,-6
01,02,2021,0,-24
02,02,2021,1,-20
03,02,2021,0,-20
04,02,2021,0,3
06,02,2021,1,-4
08,02,2021,0,-6
09,02,2021,0,-14
11,02,2021,0,-27
13,02,2021,0,-30
15,02,2021,1,-5
16,02,2021,1,-4
18,02,2021,1,-14
20,02,2021,0,-22
22,02,2021,0,-21
25,02,2021,0,-21
27,02,2021,0,-25
01,03,2021,1,-10
02,03,2021,1,-11
03,03,2021,1,-17
04,03,2021,1,-10
05,03,2021,1,-5
06,03,2021,1,-4
09,03,2021,1,-11
10,03,2021,1,-12
11,03,2021,1,-6
12,03,2021,1,-5
13,03,2021,0,-18
15,03,2021,1,-15
17,03,2021,1,-11
19,03,2021,1,-6
20,03,2021,1,-4
22,03,2021,1,-1
23,03,2021,1,0
01,04,2021,1,-6
02,04,2021,1,-5
03,04,2021,1,-2
05,04,2021,1,0
06,04,2021,1,6
07,04,2021,1,-4
08,04,2021,1,0
09,04,2021,1,-3
10,04,2021,1,0
12,04,2021,1,-2
13,04,2021,1,4
14,04,2021,1,0
16,04,2021,0,3
17,04,2021,1,-2
19,04,2021,1,-5
20,04,2021,1,-7
21,04,2021,1,-4
22,04,2021,1,-3
23,04,2021,1,-3
26,04,2021,1,2
27,04,2021,1,8
28,04,2021,0,8
29,04,2021,1,5
30,04,2021,1,4
03,05,2021,1,8
08,05,2021,1,6
11,05,2021,1,10
12,05,2021,1,8
13,05,2021,1,11
14,05,2021,1,8
15,05,2021,1,13
02,09,2021,1,9
03,09,2021,1,7
04,09,2021,1,10
06,09,2021,1,10
07,09,2021,1,14
08,09,2021,1,14
09,09,2021,1,9
10,09,2021,1,9
11,09,2021,0,10
13,09,2021,1,7
14,09,2021,1,8
15,09,2021,0,10
16,09,2021,1,12
17,09,2021,1,13
18,09,2021,1,10
20,09,2021,1,6
21,09,2021,1,6
22,09,2021,1,5
23,09,2021,1,4
24,09,2021,1,3
25,09,2021,0,3
27,09,2021,1,3
28,09,2021,0,0
29,09,2021,1,3
30,09,2021,1,5
01,10,2021,0,4
02,10,2021,0,5
04,10,2021,1,1
05,10,2021,0,6
06,10,2021,1,2
07,10,2021,0,0
